"","num","cc","subversion","HR","IR","GE","PR","WI"
"81","3","NP",1,"NPHR31FL.DTA","NPIR31FL.DTA",NA,"NPPR31FL.DTA","NPWI31FL.DTA"
"82","3","PE",1,"PEHR31FL.DTA","PEIR31FL.DTA",NA,"PEPR31FL.DTA","PEWI31FL.DTA"
"83","3","PH",1,"PHHR31FL.DTA","PHIR31FL.DTA",NA,"PHPR31FL.DTA","PHWI31FL.DTA"
"84","3","PH",2,"PHHR3BFL.DTA","PHIR3BFL.DTA",NA,"PHPR3BFL.DTA","PHWI3AFL.DTA"
"85","3","SN",1,"SNHR32FL.DTA","SNIR32FL.DTA","SNGE32FL.shp","SNPR32FL.DTA","SNWI32FL.DTA"
"86","3","TD",1,"TDHR31FL.DTA","TDIR31FL.DTA",NA,"TDPR31FL.DTA","TDWI31FL.DTA"
"87","3","TG",1,"TGHR31FL.DTA","TGIR31FL.DTA","TGGE32FL.shp","TGPR31FL.DTA","TGWI31FL.DTA"
"88","3","TR",1,"TRHR31FL.DTA","TRIR31FL.DTA",NA,"TRPR31FL.DTA","TRWI31FL.DTA"
"89","3","TZ",2,"TZHR3AFL.DTA","TZIR3AFL.DTA",NA,"TZPR3AFL.DTA","TZWI3AFL.DTA"
"90","3","UG",1,"UGHR33FL.DTA","UGIR33FL.DTA",NA,"UGPR33FL.DTA","UGWI33FL.DTA"
"91","3","UZ",1,"UZHR31FL.DTA","UZIR31FL.DTA",NA,"UZPR31FL.DTA","UZWI31FL.DTA"
"92","3","VN",1,"VNHR31FL.DTA","VNIR31FL.DTA",NA,"VNPR31FL.DTA","VNWI31FL.DTA"
"93","3","ZA",1,"ZAHR31FL.DTA","ZAIR31FL.DTA",NA,"ZAPR31FL.DTA","ZAWI31FL.DTA"
"94","3","ZM",1,"ZMHR31FL.DTA","ZMIR31FL.DTA",NA,"ZMPR31FL.DTA","ZMWI31FL.DTA"
"95","3","ZW",1,"ZWHR31FL.DTA","ZWIR31FL.DTA",NA,"ZWPR31FL.DTA","ZWWI31FL.DTA"
"96","4","AM",1,"AMHR42FL.DTA","AMIR42FL.DTA",NA,"AMPR42FL.DTA","AMwi42fl.dta"
"97","4","AP",1,"APHR42FL.DTA","APIR42FL.DTA",NA,NA,NA
"98","4","AR",1,"ARHR42FL.DTA","ARIR42FL.DTA",NA,NA,NA
"99","4","AS",1,"ASHR42FL.DTA","ASIR42FL.DTA",NA,NA,NA
"100","4","BD",1,"BDHR41FL.DTA","BDIR41FL.DTA","BDGE42FL.shp","BDPR41FL.DTA","BDWI41FL.DTA"
"101","4","BD",3,"BDHR4JFL.DTA","BDIR4JFL.DTA","BDGE4JFL.shp","BDPR4JFL.DTA",NA
"102","4","BF",1,"BFHR43FL.dta","BFIR43FL.dta","BFGE43FL.shp","BFPR44FL.DTA",NA
"103","4","BH",1,"BHHR42FL.DTA","BHIR42FL.DTA",NA,NA,NA
"104","4","BJ",1,"BJHR41FL.DTA","BJIR41FL.DTA","BJGE42FL.shp","BJPR41FL.DTA","BJWI41FL.DTA"
"105","4","BO",1,"BOHR41FL.DTA","BOIR41FL.DTA",NA,"BOPR41FL.DTA",NA
"106","4","CM",1,"CMHR44FL.dta","CMIR44FL.dta","CMGE42FL.shp","CMPR45FL.DTA",NA
"107","4","CO",1,"COHR41FL.DTA","COIR41FL.DTA",NA,"COPR41FL.DTA","COWI41FL.DTA"
"108","4","DL",1,"DLHR42FL.DTA","DLIR42FL.DTA",NA,NA,NA
"109","4","DR",1,"DRHR41FL.DTA","DRIR41FL.DTA",NA,"DRPR41FL.DTA","DRWI41FL.DTA"
"110","4","DR",2,"DRHR4BFL.DTA","DRIR4BFL.DTA",NA,"DRPR4BFL.DTA","DRWI4AFL.DTA"
"111","4","EG",1,"EGHR42FL.DTA","EGIR42FL.DTA","EGGE42FL.shp","EGPR42FL.DTA","EGWI41FL.DTA"
"112","4","EG",2,"EGHR4AFL.DTA","EGIR4AFL.DTA","EGGE4BFL.shp","EGPR4AFL.DTA","EGWI4AFL.DTA"
"113","4","ET",1,"ETHR41FL.DTA","ETIR41FL.DTA","ETGE42FL.shp","ETPR41FL.DTA","ETWI41FL.DTA"
"114","4","GA",1,"GAHR41FL.DTA","GAIR41FL.DTA",NA,"GAPR41FL.DTA","GAWI41FL.DTA"
"115","4","GH",1,"GHHR41FL.DTA","GHIR41FL.DTA","GHGE42FL.shp","GHPR41FL.DTA","GHWI41FL.DTA"
"116","4","GH",2,"GHHR4BFL.DTA","GHIR4BFL.DTA","GHGE4BFL.shp","GHPR4BFL.DTA",NA
"117","4","GJ",1,"GJHR42FL.DTA","GJIR42FL.DTA",NA,NA,NA
"118","4","GN",1,"GNHR41FL.DTA","GNIR41FL.DTA","GNGE42FL.shp","GNPR41FL.DTA","GNWI41FL.DTA"
"119","4","GO",1,"GOHR42FL.DTA","GOIR42FL.DTA",NA,NA,NA
"120","4","GU",1,"GUHR41FL.DTA","GUIR41FL.DTA",NA,"GUPR41FL.DTA","GUWI42FL.DTA"
"121","4","HP",1,"HPHR42FL.DTA","HPIR42FL.DTA",NA,NA,NA
"122","4","HR",1,"HRHR42FL.DTA","HRIR42FL.DTA",NA,NA,NA
"123","4","HT",1,"HTHR42FL.dta","HTIR42FL.dta","HTGE42FL.shp","HTPR42FL.dta","HTwi42fl.dta"
"124","4","IA",1,"IAHR42FL.DTA","IAIR42FL.DTA",NA,"IAPR42FL.DTA","IAWI41FL.DTA"
"125","4","ID",1,"IDHR42FL.DTA","IDIR42FL.DTA","IDGE43FL.shp","IDPR42FL.DTA",NA
"126","4","JM",1,"JMHR42FL.DTA","JMIR42FL.DTA",NA,NA,NA
"127","4","JO",1,"JOHR42FL.DTA","JOIR42FL.DTA","JOGE43FL.shp","JOPR42FL.DTA","JOWI41FL.DTA"
"128","4","KA",1,"KAHR42FL.DTA","KAIR42FL.DTA",NA,NA,NA
"129","4","KE",1,"KEHR42FL.DTA","KEIR42FL.DTA","KEGE43FL.shp","KEPR42FL.DTA",NA
"130","4","KH",1,"KHHR42FL.dta","KHIR42FL.dta","KHGE43FL.shp","KHPR42FL.dta","KHWI41FL.DTA"
"131","4","KK",1,"KKHR42FL.DTA","KKIR42FL.DTA",NA,"KKPR42FL.DTA","KKwi42fl.dta"
"132","4","LS",1,"LSHR41FL.dta","LSIR41FL.dta","LSGE42FL.shp","LSPR41FL.dta",NA
